Problem,Package,File,Priority,Line,Description,Rule set,Rule
2,org.junit.platform.engine.discovery,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\discovery\DiscoverySelectors.java,3,63,"Possible God Class (WMC=65, ATFD=7, TCC=0.000%)",Design,GodClass
3,org.junit.platform.engine.discovery,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\discovery\DiscoverySelectors.java,3,63,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.engine.discovery,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\discovery\FilePosition.java,3,88,The method 'fromQuery(String)' has a cyclomatic complexity of 13.,Design,CyclomaticComplexity
1,org.junit.platform.engine.support.descriptor,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\support\descriptor\FilePosition.java,3,83,The method 'fromQuery(String)' has a cyclomatic complexity of 13.,Design,CyclomaticComplexity
1,org.junit.platform.engine.support.discovery,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\support\discovery\EngineDiscoveryRequestResolution.java,3,11,A value of 26 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
1,org.junit.platform.engine.support.discovery,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\support\discovery\EngineDiscoveryRequestResolver.java,3,11,A value of 24 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
1,org.junit.platform.engine.support.discovery,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\support\discovery\SelectorResolver.java,3,72,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.engine.support.hierarchical,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\NodeTreeWalker.java,3,53,"The method 'walk(TestDescriptor, TestDescriptor, NodeExecutionAdvisor)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
1,org.junit.platform.engine.support.hierarchical,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\WorkerThreadPoolHierarchicalTestExecutorService.java,3,11,A value of 37 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.junit.platform.engine.support.hierarchical,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\WorkerThreadPoolHierarchicalTestExecutorService.java,3,256,"Possible God Class (WMC=69, ATFD=27, TCC=2.333%)",Design,GodClass
